"","AE-num","Total Tissue","Total SR Tissue","divided","logscaled_tissue","logscaled_tissue_sr","logscaled_tissue_std","logscaled_tissue_sr_std"
"1461","AE3014",3585784259,1310024385,0.365338316635184,22.0002430483006,20.99331158849,3.4148096814541,1.33473812821988
"1462","AE3015",476547750,216821384,0.454983543621809,19.9820784859014,19.194584457352,0.267285280325623,-0.46398900291813
"1463","AE3020",251634231,155248409,0.616960611372465,19.3434871267953,18.8605370307382,-0.728660205282846,-0.798036429531931
"1464","AE3022",216495807,84993383,0.392586739566739,19.1930817380137,18.2580839643655,-0.963232073242132,-1.40048949590463
"1465","AE3023",297567245,146437985,0.492117285960019,19.5111507910217,18.80211258622,-0.467172374128117,-0.856460874050186
"1466","AE3024",221441342,117382254,0.530082833403349,19.2156682907076,18.5809462955,-0.928006142182886,-1.07762716477019
"1467","AE303",373777984,231283299,0.618771861640733,19.7391725534449,19.2591539196661,-0.111550204069683,-0.399419540604062
"1468","AE3031",584228597,216109397,0.369905544010883,20.1858028974217,19.1912953050296,0.585013362719071,-0.467278155240554
"1469","AE3032",271689845,136322971,0.50175953760804,19.420171697916,18.7305374151153,-0.609063140063609,-0.928036045154863
"1470","AE3033",141683361,65785516,0.464313632424347,18.7691052736307,18.0019102504847,-1.62446470610707,-1.65666320978548
"1471","AE3034",454666799,286524001,0.630184569513729,19.9350753987552,19.4733328637342,0.193979383236064,-0.185240596535956
"1472","AE3035",292386107,169851172,0.580913962509169,19.4935857710312,18.9504331527531,-0.494566735349365,-0.708140307517039
"1473","AE3036",481602840,243295666,0.505179051684994,19.9926303489515,19.309787994196,0.283741939532748,-0.34878546607417
"1474","AE3037",254990093,137226311,0.538163304250413,19.3567352513876,18.7371420260074,-0.707998463321691,-0.921431434262812
"1475","AE3038",350817384,234319396,0.667924130008335,19.6757763725366,19.2721956828089,-0.210422729167342,-0.386377777461292
"1476","AE3039",269264844,150113878,0.557495274058131,19.4112060034003,18.8269047506908,-0.623046014793842,-0.83166870957939
"1477","AE3040",380643351,187221277,0.491854846559503,19.7573734080741,19.0478017747371,-0.0831641967369515,-0.610771685533078
"1478","AE3041",160773624,92281299,0.573982825690363,18.895507871404,18.3403520678938,-1.42732753093799,-1.31822139237639
"1479","AE3042",342903459,162349453,0.473455279434787,19.6529595048713,18.9052616872435,-0.246007858879717,-0.753311773026646
"1480","AE3043",390469160,250053989,0.64039369716164,19.7828595484531,19.3371874085114,-0.0434160759801673,-0.321386051758783
"1481","AE3045",430004059,217310910,0.505369438849878,19.8793052061422,19.1968396510533,0.107000330399812,-0.46173380921686
"1482","AE3046",382472244,119351815,0.312053532961728,19.762166643892,18.5975861180068,-0.075688678150234,-1.06098734226341
"1483","AE3047",194295856,119612402,0.615619933757105,19.0848925862767,18.599767089757,-1.13196360355149,-1.05880637051321
"1484","AE3048",258230559,179629392,0.695616323240814,19.3693633833627,19.006406353004,-0.688303660294799,-0.652167107266163
"1485","AE3049",352599036,214556606,0.608500262604235,19.6808420939481,19.1840841589534,-0.20252224273079,-0.474489301316724
"1486","AE305",479378464,71424106,0.148993147093066,19.9880009561353,18.0841459893769,0.276521950081566,-1.57442747089322
"1487","AE3050",246600794,122356848,0.496173779554011,19.3232813684785,18.6224523168629,-0.760173055389541,-1.03612114340729
"1488","AE3053",360827838,168895980,0.468079128639736,19.7039114994956,18.9447935804291,-0.166543255569314,-0.713779879841103
"1489","AE3055",181324314,26204149,0.144515362677727,19.0157977759445,17.0814283149725,-1.23972369683813,-2.57714514529764
